ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159915.SZ,20170901,1.765,1.768,1.78,1.755,1.776,0.011,0.6232,1753435.06,309891.085
159915.SZ,20170904,1.776,1.773,1.799,1.769,1.796,0.02,1.1261,1455841.98,260343.93
159915.SZ,20170905,1.796,1.795,1.804,1.785,1.796,0.0,0.0,1394204.99,250347.097
159915.SZ,20170906,1.796,1.792,1.814,1.79,1.813,0.017,0.9465,1611863.06,290327.649
159915.SZ,20170907,1.813,1.813,1.828,1.797,1.8,-0.013,-0.717,1632369.76,296344.185
159915.SZ,20170908,1.8,1.797,1.807,1.783,1.791,-0.009,-0.5,1398556.59,251025.855
159915.SZ,20170911,1.791,1.79,1.807,1.788,1.807,0.016,0.8934,1023147.52,184131.587
159915.SZ,20170912,1.807,1.811,1.815,1.792,1.793,-0.014,-0.7748,1222546.63,220494.664
159915.SZ,20170913,1.793,1.792,1.798,1.784,1.797,0.004,0.2231,972239.31,174212.687
159915.SZ,20170914,1.797,1.797,1.803,1.783,1.787,-0.01,-0.5565,839012.17,150416.3
159915.SZ,20170915,1.787,1.785,1.792,1.78,1.782,-0.005,-0.2798,895529.43,159878.87
159915.SZ,20170918,1.782,1.782,1.808,1.78,1.808,0.026,1.459,1141358.39,205056.836
159915.SZ,20170919,1.808,1.807,1.811,1.785,1.79,-0.018,-0.9956,1150825.19,207097.411
159915.SZ,20170920,1.79,1.788,1.803,1.786,1.801,0.011,0.6145,761996.76,136795.706
159915.SZ,20170921,1.801,1.802,1.808,1.78,1.78,-0.021,-1.166,764903.75,137266.294
159915.SZ,20170922,1.78,1.775,1.78,1.762,1.773,-0.007,-0.3933,1079248.96,191300.26
159915.SZ,20170925,1.773,1.77,1.778,1.748,1.75,-0.023,-1.2972,807223.01,142398.148
159915.SZ,20170926,1.75,1.749,1.758,1.734,1.746,-0.004,-0.2286,966425.23,168631.756
159915.SZ,20170927,1.746,1.75,1.766,1.748,1.757,0.011,0.63,815793.53,143255.488
159915.SZ,20170928,1.757,1.758,1.771,1.757,1.761,0.004,0.2277,730490.67,128804.556
159915.SZ,20170929,1.761,1.764,1.78,1.764,1.78,0.019,1.0789,570514.36,101193.632
159915.SZ,20171009,1.78,1.797,1.81,1.79,1.8,0.02,1.1236,902553.18,162208.355
159915.SZ,20171010,1.8,1.798,1.828,1.797,1.828,0.028,1.5556,1283464.1,232829.319
159915.SZ,20171011,1.828,1.83,1.835,1.811,1.814,-0.014,-0.7659,1147732.39,208922.109
159915.SZ,20171012,1.814,1.812,1.819,1.799,1.811,-0.003,-0.1654,785692.56,142223.062
159915.SZ,20171013,1.811,1.811,1.84,1.806,1.84,0.029,1.6013,1188638.24,216937.353
159915.SZ,20171016,1.84,1.84,1.84,1.795,1.796,-0.044,-2.3913,2194893.0,396814.981
159915.SZ,20171017,1.796,1.791,1.798,1.781,1.786,-0.01,-0.5568,922738.81,164973.103
159915.SZ,20171018,1.786,1.789,1.8,1.778,1.778,-0.008,-0.4479,846062.4,151658.517
