ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
510050.SH,20170904,2.76,2.758,2.766,2.745,2.764,0.004,0.1449,2968715.01,818298.908
510050.SH,20170905,2.764,2.763,2.793,2.763,2.782,0.018,0.6512,3175202.71,881639.715
510050.SH,20170906,2.782,2.775,2.778,2.757,2.764,-0.018,-0.647,3091919.76,855409.418
510050.SH,20170907,2.764,2.767,2.772,2.74,2.743,-0.021,-0.7598,2675442.88,737847.09
510050.SH,20170908,2.743,2.744,2.753,2.73,2.738,-0.005,-0.1823,1906751.41,522797.028
510050.SH,20170911,2.738,2.744,2.762,2.726,2.73,-0.008,-0.2922,3864359.42,1059500.054
510050.SH,20170912,2.73,2.735,2.749,2.726,2.746,0.016,0.5861,3787961.32,1036486.704
510050.SH,20170913,2.746,2.744,2.746,2.73,2.739,-0.007,-0.2549,3070605.83,840991.788
510050.SH,20170914,2.739,2.74,2.746,2.715,2.722,-0.017,-0.6207,2794696.17,762805.558
510050.SH,20170915,2.722,2.721,2.729,2.711,2.722,0.0,0.0,2610550.82,710081.234
510050.SH,20170918,2.722,2.724,2.747,2.724,2.729,0.007,0.2572,3199706.91,875334.839
510050.SH,20170919,2.729,2.731,2.738,2.71,2.72,-0.009,-0.3298,3095470.0,843077.912
510050.SH,20170920,2.72,2.718,2.727,2.712,2.717,-0.003,-0.1103,2210194.52,601113.718
510050.SH,20170921,2.717,2.716,2.743,2.712,2.728,0.011,0.4049,2760949.52,752931.508
510050.SH,20170922,2.728,2.723,2.737,2.714,2.729,0.001,0.0367,2745850.65,748261.03
510050.SH,20170925,2.729,2.722,2.733,2.717,2.729,0.0,0.0,3447473.0,939970.633
510050.SH,20170926,2.729,2.727,2.735,2.724,2.731,0.002,0.0733,2489844.8,679930.009
510050.SH,20170927,2.731,2.73,2.73,2.71,2.711,-0.02,-0.7323,6482281.0,1762188.432
510050.SH,20170928,2.711,2.711,2.716,2.704,2.715,0.004,0.1475,2659988.72,720843.993
510050.SH,20170929,2.715,2.717,2.735,2.716,2.726,0.011,0.4052,4708403.24,1285131.965
510050.SH,20171009,2.726,2.788,2.799,2.743,2.75,0.024,0.8804,5753671.64,1594735.054
510050.SH,20171010,2.75,2.749,2.764,2.728,2.746,-0.004,-0.1455,5950614.55,1630410.615
510050.SH,20171011,2.746,2.747,2.768,2.746,2.762,0.016,0.5827,3333772.02,919223.942
510050.SH,20171012,2.762,2.76,2.777,2.754,2.773,0.011,0.3983,2035754.04,563156.715
510050.SH,20171013,2.773,2.772,2.775,2.766,2.771,-0.002,-0.0721,1618771.1,448532.364
510050.SH,20171016,2.771,2.77,2.793,2.77,2.781,0.01,0.3609,3127203.49,870273.124
510050.SH,20171017,2.781,2.78,2.786,2.772,2.779,-0.002,-0.0719,2424663.18,673853.132
510050.SH,20171018,2.779,2.779,2.805,2.777,2.802,0.023,0.8276,6735698.32,1880157.944
510050.SH,20171019,2.802,2.801,2.807,2.797,2.806,0.004,0.1428,3276864.41,918435.306
510050.SH,20171020,2.806,2.8,2.8,2.788,2.79,-0.016,-0.5702,1827301.39,510153.664
510050.SH,20171023,2.79,2.795,2.798,2.783,2.791,0.001,0.0358,2383304.78,664897.947
510050.SH,20171024,2.791,2.785,2.813,2.785,2.806,0.015,0.5374,5566144.44,1560121.894
510050.SH,20171025,2.806,2.805,2.809,2.798,2.802,-0.004,-0.1426,3599678.79,1009114.451
510050.SH,20171026,2.802,2.808,2.843,2.804,2.827,0.025,0.8922,5212543.66,1472197.243
510050.SH,20171027,2.827,2.827,2.874,2.823,2.873,0.046,1.6272,3332629.36,949395.897
510050.SH,20171030,2.873,2.871,2.876,2.835,2.861,-0.012,-0.4177,5200350.3,1484354.162
510050.SH,20171031,2.861,2.852,2.852,2.84,2.851,-0.01,-0.3495,2181659.28,620794.163
510050.SH,20171101,2.851,2.851,2.87,2.836,2.842,-0.009,-0.3157,3781253.64,1078666.947
510050.SH,20171102,2.842,2.838,2.848,2.827,2.847,0.005,0.1759,4102266.75,1163057.145
510050.SH,20171103,2.847,2.844,2.855,2.826,2.851,0.004,0.1405,5519149.02,1567597.933
510050.SH,20171106,2.851,2.846,2.848,2.83,2.843,-0.008,-0.2806,2854825.5,810443.077
510050.SH,20171107,2.843,2.843,2.883,2.843,2.875,0.032,1.1256,6218318.6,1784292.76
510050.SH,20171108,2.875,2.874,2.899,2.867,2.874,-0.001,-0.0348,5710532.4,1644910.059
510050.SH,20171109,2.874,2.871,2.886,2.865,2.885,0.011,0.3827,4269429.19,1226904.798
510050.SH,20171110,2.885,2.883,2.922,2.88,2.918,0.033,1.1438,6372702.53,1847851.071
510050.SH,20171113,2.918,2.921,2.939,2.918,2.928,0.01,0.3427,2990331.78,876122.558
510050.SH,20171114,2.928,2.929,2.935,2.91,2.913,-0.015,-0.5123,4718732.53,1376845.137
510050.SH,20171115,2.913,2.906,2.917,2.896,2.901,-0.012,-0.4119,5185719.85,1505444.521
510050.SH,20171116,2.901,2.895,2.935,2.893,2.932,0.031,1.0686,4311724.92,1257602.101
510050.SH,20171117,2.932,2.925,2.993,2.923,2.99,0.058,1.9782,9210089.32,2723057.023
510050.SH,20171120,2.99,2.977,2.996,2.953,2.996,0.006,0.2007,5980591.78,1778111.161
510050.SH,20171121,2.996,2.985,3.071,2.981,3.046,0.05,1.6689,8072463.9,2454631.041
510050.SH,20171122,3.046,3.055,3.094,3.046,3.067,0.021,0.6894,6521079.08,2002279.539
510050.SH,20171123,3.067,3.062,3.076,2.968,2.991,-0.076,-2.478,10107565.87,3061423.992
510050.SH,20171124,2.991,2.987,3.004,2.963,2.99,-0.001,-0.0334,5941973.03,1771682.846
510050.SH,20171127,2.99,2.983,2.989,2.939,2.966,-0.024,-0.8027,6937885.36,2053789.717
510050.SH,20171128,2.912,2.909,2.91,2.876,2.896,-0.016,-0.5495,5085750.1,1472221.711
510050.SH,20171129,2.896,2.903,2.915,2.858,2.89,-0.006,-0.2072,4044882.35,1167154.68
510050.SH,20171130,2.89,2.88,2.898,2.85,2.858,-0.032,-1.1073,6357419.08,1825466.242
510050.SH,20171201,2.858,2.86,2.867,2.832,2.838,-0.02,-0.6998,4639455.91,1320220.344
510050.SH,20171204,2.838,2.828,2.868,2.82,2.858,0.02,0.7047,2938001.99,837777.504
510050.SH,20171205,2.858,2.85,2.92,2.847,2.908,0.05,1.7495,8923698.59,2581142.589
510050.SH,20171206,2.908,2.899,2.899,2.843,2.871,-0.037,-1.2724,4660555.6,1340233.057
510050.SH,20171207,2.871,2.87,2.877,2.826,2.844,-0.027,-0.9404,5970121.35,1699303.808
510050.SH,20171208,2.844,2.839,2.874,2.832,2.865,0.021,0.7384,4890595.88,1395786.224
510050.SH,20171211,2.865,2.865,2.899,2.856,2.898,0.033,1.1518,3870458.92,1114818.405
510050.SH,20171212,2.898,2.896,2.902,2.845,2.846,-0.052,-1.7943,3941618.35,1133773.016
510050.SH,20171213,2.846,2.85,2.878,2.836,2.87,0.024,0.8433,5433994.04,1552969.482
510050.SH,20171214,2.87,2.87,2.878,2.842,2.85,-0.02,-0.6969,4566913.39,1303628.49
510050.SH,20171215,2.85,2.843,2.848,2.814,2.816,-0.034,-1.193,4522940.42,1279876.829
510050.SH,20171218,2.816,2.815,2.843,2.815,2.828,0.012,0.4261,4561371.1,1290558.354
